Micromarket,,micro_markets,,,,,,,,
SPR Road 68-70,,Central Noida,Central Noida,,,,,,,
New Gurgaon 81-86,,"Sohna Road, SPR",Sohna Road, SPR,,,,,,Central Noida
New Gurgaon 88-92,,"Dwarka Expressway, New Gurgaon, SPR",Dwarka Expressway, New Gurgaon, SPR,,,,,Sohna Road
SPR Road 77-79,,New Gurgaon,New Gurgaon,,,,,,,Dwarka Expressway
Gr Noida West - 1,,Noida Extension,Noida Extension,,,,,,,New Gurgaon
Sohna Road,,"New Gurgaon, Sohna Road, SPR",New Gurgaon, Sohna Road, SPR,,,,,Noida Extension
Manesar,,Sohna Road,Sohna Road,,,,,,,Golf Course Extension
Dwarka Expressway 37/99/104,,"Dwarka Expressway, New Gurgaon",Dwarka Expressway, New Gurgaon,,,,,,Noida Expressway
Gr Noida West - 2,,"Golf Course Extension, Golf Course Road, SPR",Golf Course Extension, Golf Course Road, SPR,,,,,Central Gurgaon
Gaur City,,"New Gurgaon, SPR",New Gurgaon, SPR,,,,,,SPR
Ghaziabad,,Noida Expressway,Noida Expressway,,,,,,,Crossings Republik
Central Noida - 76,,"Central Gurgaon, New Gurgaon, Sohna Road, SPR",Central Gurgaon, New Gurgaon, Sohna Road, SPR,,,,Raj Nagar Ext
Central Noida - 121,,"Central Gurgaon, Golf Course Extension, Golf Course Road, New Gurgaon, Sohna Road",Central Gurgaon, Golf Course Extension, Golf Course Road, New Gurgaon, Sohna Road,,,Golf Course Road
Gr Noida Expressway,,"Central Gurgaon, Dwarka Expressway, Golf Course Road, New Gurgaon, Sohna Road",Central Gurgaon, Dwarka Expressway, Golf Course Road, New Gurgaon, Sohna Road,,,NH24
Old Gurgaon,,"Golf Course Extension, New Gurgaon",Golf Course Extension, New Gurgaon,,,,,,Indirapuram
Central Noida - 45,,"Golf Course Extension, Sohna Road, SPR",Golf Course Extension, Sohna Road, SPR,,,,,
Golf Course Ext 58-63,,"Dwarka Expressway, New Gurgaon, Sohna Road",Dwarka Expressway, New Gurgaon, Sohna Road,,,,,
Gr Noida,,"Central Gurgaon, Golf Course Extension, Golf Course Road, New Gurgaon, SPR",Central Gurgaon, Golf Course Extension, Golf Course Road, New Gurgaon, SPR,,,
Dwarka Expressway - 37/99/104,,"Central Gurgaon, Golf Course Extension, Golf Course Road, Sohna Road, SPR",Central Gurgaon, Golf Course Extension, Golf Course Road, Sohna Road, SPR,,,
SPR,,Golf Course Extension,Golf Course Extension,,,,,,,
