Last refreshed: 2026-05-28 04:00 IST  |  282 rows,,,,,,,,,,,,,,,,
property_name,society_name,city_name,micro_market,locality_or_sector,listing_status,configuration,super_sqft,carpet_sqft,area_unit,exit_facing,balcony_view,listing_price,commission,sales_manager,photo_count,video_added
"Nector - 2104, Ajnara Gen 10",Ajnara Gen 10,Ghaziabad,Crossings Republik,Crossing Republik (Ghaziabad),Coming Soon,2 BHK,1250,980,sqft,S,"Club, Swimming Pool, Tower",86.5 L,2% Commission Payable on Registry,Sahil Kumar,2,No
"D - 1101, Amrapali Empire",Amrapali Empire,Ghaziabad,Crossings Republik,Crossing Republik (Ghaziabad),Ready,2 BHK,1000,800,sqft,S,"Open View, Road",74 L,2% Commission payable on Registry,Sahil Kumar,13,Yes
"- - 1105, Orchid Paramount Symphony",Orchid Paramount Symphony,Ghaziabad,Crossings Republik,Crossing Republik (Ghaziabad),Sold,3 BHK + Study Room,1425,1184,sqft,S,"Garden, Tower",1.05 Cr,1% Commission payable on Registry,Sahil Kumar,2,No
"Emerald - 2207, Ajnara Gen X",Ajnara Gen X,Ghaziabad,Crossings Republik,Crossings Republik,Ready,2 BHK,1250,980,sqft,E,"Club, Garden, Swimming Pool",82 L,1% Commission payable on Registry,Sahil Kumar,13,Yes
"B - 602, Ajnara Gen X",Ajnara Gen X,Ghaziabad,Crossings Republik,Crossings Republik,Sold,2 BHK + Study,1530,1200,sqft,W,Open View,1 Cr,2% Commission payable on Registry,Sahil Kumar,15,Yes
"B - 2103, Ajnara Gen X",Ajnara Gen X,Ghaziabad,Crossings Republik,Crossings Republik,Sold,3 BHK,1750,1427,sqft,W,Open View,1.12 Cr,1% Commission payable on Registry,Sahil Kumar,14,Yes
"B - 401, Bulland Heights",Bulland Heights,Ghaziabad,Crossings Republik,Crossings Republik,Archived,2BHK,,1260,SQ_FT,,,0 L,,,0,No
"B - 206, Bulland Heights",Bulland Heights,Ghaziabad,Crossings Republik,Crossings Republik,Ready,2 BHK,1285,959,sqft,N,Tower,79.5 L,2% Commission Payable on Registry,Sahil Kumar,12,Yes
"C - 117, Lotus Shristi",Lotus Shristi,Ghaziabad,Crossings Republik,Crossings Republik,Ready,2 BHK,1022,532,sqft,NE,Garden,72 L,1% Commission payable on Registry,Sahil Kumar,12,Yes
"Romano - 1559, Mahagun Mascot",Mahagun Mascot,Ghaziabad,Crossings Republik,Crossings Republik,Ready,2 BHK,1100,880,sqft,E,Open View,79.5 L,Flat ₹1 Lakh Brokerage,Sahil Kumar,10,Yes
"T3 - 505, Panchsheel Wellington",Panchsheel Wellington,Ghaziabad,Crossings Republik,Crossings Republik,Ready,2 BHK,1197,957,sqft,N,Club,87 L,2% Commission Payable on Registry,Hashim,15,Yes
"T5 - 804, Panchsheel Wellington",Panchsheel Wellington,Ghaziabad,Crossings Republik,Crossings Republik,Ready,2 BHK,1050,840,sqft,E,"Open View, Tower",77 L,2% Commission Payable on Registry,Sahil Kumar,13,Yes
"T2 - 1806B, Panchsheel Wellington",Panchsheel Wellington,Ghaziabad,Crossings Republik,Crossings Republik,Coming Soon,2 BHK + Study,1450,1250,sqft,S,"Park, Playground",1 Cr,2% Commission Payable on Registry,Hashim,2,No
"T2 - 405B, Panchsheel Wellington",Panchsheel Wellington,Ghaziabad,Crossings Republik,Crossings Republik,Coming Soon,2 BHK,1150,748,sqft,S,Open View,82.5 L,2% Commission Payable on Registry,Hashim,2,No
"A1 - 603, Saviour Greenisle",Saviour Greenisle,Ghaziabad,Crossings Republik,Crossings Republik,Coming Soon,2 BHK,1250,1000,sqft,E,"Garden, Open View",86 L,2% Commission Payable on Registry,Sahil Kumar,2,No
"A6 - 1303, Saviour Greenisle",Saviour Greenisle,Ghaziabad,Crossings Republik,Crossings Republik,Ready,2 BHK + Study,1150,789,sqft,S,Garden,81 L,2% Commission payable on Registry,Sahil Kumar,14,Yes
"A1 - 2201, Saviour Greenisle",Saviour Greenisle,Ghaziabad,Crossings Republik,Crossings Republik,Sold,2 BHK,1250,1000,sqft,W,Open View,82 L,1% Commission payable on Registry,Sahil Kumar,14,Yes
"- - 1205, Skytech Merion Residency Ph-1",Skytech Merion Residency Ph-1,Ghaziabad,Crossings Republik,Crossings Republik,Ready,3 BHK + Study,1750,1400,sqft,N,Tower,1.1 Cr,2% Commission Payable on Registry,Sahil Kumar,15,No
"F - 1302, Supertech Livingston",Supertech Livingston,Ghaziabad,Crossings Republik,Crossings Republik,Ready,2 BHK + Study,1320,1029,sqft,N,Open View,97 L,2% Commission payable on Registry,Sahil Kumar,12,Yes
