OH Demand Plan — June 2026 (v5 LOCKED with Incentives),,,,,
Plan (committed),45,,L1 = 40% sell-through,,
Stretch,48,,~41% sell-through,,
Booking definition,Token paid by buyer (CRM/sheet of record by Jun 1),,,,
Plan date,2026-05-22,,,,
,,,,,
CITY ALLOCATION,Gurgaon,Noida,Ghaziabad,TOTAL,Notes
Available units (Jun 1),4300.00%,5000.00%,2400.00%,117,"~100 live Jun 1, +17 via KH"
Booking PLAN,17,19,9,45,40% sell-thru
Booking STRETCH,1800%,2000%,1000%,4800%,~41%
,,,,,
FUNNEL (visits → meetings → bookings),Gurgaon,Noida,Ghaziabad,TOTAL,Conversion
Total Visits,1083,1259,604,2946,50 v/property/8wks
Negotiation Meetings (office),43,50,24,118,4%
Bookings (PLAN),17,19,9,45,38%
ATS,14,15,7,36,80%
Revisits (side),379,441,211,1031,Track only
,,,,,
VISIT SOURCING,Volume,%,Owner,Inflow channel,
CP-sourced visits,2651,90%,HQ Engagement + Field,Weekly call + WhatsApp broadcast (Marketing),
Direct visits,295,10%,Direct Team,492 leads from Insta + 99acres + paid ads,
