BOOKING FUNNEL — June 2026 (PLAN 45 / STRETCH 48) v5,,,,,,
,,,,,,
Stage,Rate,Total,Ggn,Nod,Gha,Owner
Total Visits,—,2946,1083,1259,604,Field + Direct→Field
  CP-sourced,90%,2651,975,1133,544,HQ Eng + Field
  Direct-sourced,10%,295,108,126,60,Direct → Field hosts
Negotiation Meetings (office),4% of visits,118,43,50,24,Closers (city HQ)
Bookings (PLAN),38% of meetings,45,17,19,9,Closers
ATS,80% of bookings,36,14,15,7,Legal + Docs
,,,,,,
BOOKING DEFINITION,Token paid by buyer (CRM/sheet of record by Jun 1),,,,,
Bookings tracked on new CRM (launching this week) + Sold Property sheet as reconciliation,,,,,,
,,,,,,
SIDE METRIC,,,,,,
Revisits,35% of visits,1031,379,441,211,Visit quality signal
,,,,,,
DAILY TARGETS (22 wd),Per day,,,,,
Total visits,134,,,,,
  OH-led (Field),56,,,,,
  CP-self (digital lock),78,,,,,
Meetings,5.4,,,,,
