CHANNEL PARTNER PLAN — June 2026 (v4) — June MAU definition,,,,,
,,,,,
"1. CURRENT CP BASE (LSQ, 2mo rolling)",,,,,
,Gurgaon,Noida,Ghaziabad,TOTAL,Notes
Registered,1700,1500,1231,4431,LSQ
Active (2mo rolling),331,255,51,637,≥1 visit last 2mo
Stopped,297,269,4,570,Reactivation pool
,,,,,
2. JUNE MAU CARRY-FORWARD (at 85% retention),,,,,
Carry-over from current 2mo,281,217,43,541,Will visit in June
,,,,,
3. JUNE MAU TARGETS,,,,,
CP-sourced visits target,975,1133,544,2651,
Productivity,3.5,3.5,3.5,3.5,Apr 2.56
June MAU needed,279,324,155,758,
Gap (new to June MAU),0,107,112,219,
,,,,,
4. CLOSING THE GAP,,,,,
Reactivations,0,94,1,95,35% of stopped
New onboardings,0,13,111,124,
Broker leads needed,0,49,417,466,@ 27% conversion
