Broker Onboarding Performance Snapshot,,,,,,,,,,,,,,,,,
Source: Broker_data_query → Sheet1 (id–created_at–added_by),,,,,,,,,,,,,,,,,
Generated: 2026-05-22 18:15    Data through: 2026-05-22,,,,,,,,,,,,,,,,,
Total brokers in source: 4530    Verified (cp_code_verify=True): 2303,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
MONTHLY TOTALS,,,,,,,,,,,,,,,,,
Month,Total Onboarded,Verified,Verified %,,,,,,,,,,,,,,
2024-12,1,1,100%,,,,,,,,,,,,,,
2025-03,335,335,100%,,,,,,,,,,,,,,
2025-04,53,53,100%,,,,,,,,,,,,,,
2025-05,54,54,100%,,,,,,,,,,,,,,
2025-06,54,54,100%,,,,,,,,,,,,,,
2025-07,52,52,100%,,,,,,,,,,,,,,
2025-08,98,98,100%,,,,,,,,,,,,,,
2025-09,273,184,67%,,,,,,,,,,,,,,
2025-10,249,154,62%,,,,,,,,,,,,,,
2025-11,374,222,59%,,,,,,,,,,,,,,
2025-12,269,135,50%,,,,,,,,,,,,,,
2026-01,240,113,47%,,,,,,,,,,,,,,
2026-02,314,119,38%,,,,,,,,,,,,,,
2026-03,674,258,38%,,,,,,,,,,,,,,
