Online vs Offline rollup — auto-updates from '14 Onboarder People' Channel column,,,,
Fill the Channel column on tab 14 (Online / Offline / Pre-system / Unknown / blank),,,,
,,,,
Metric,Online,Offline,Pre-system / Unknown,Uncategorized (blank)
Onboarders,8,28,1,6
Brokers Onboarded,1060,2163,839,50
Activated Brokers (≥1 visit),144,790,297,7
Total Visits Brought,515,3059,2920,44
Completed Visits Brought,415,2576,2036,28
Unique Buyers Brought,340,2071,1667,32
Sales (Closings) Brought,4,31,29,0
,,,,
Activation % (Activated / Onboarded),13.58%,36.52%,35.40%,0.14
Visits per Onboarded Broker,0.5,1.4,3.5,0.88
Visits per Activated Broker,3.6,3.9,9.8,6.285714286
Sales per 100 Onboarded,0.38,1.43,3.46,0
% of Total Visits,7.88%,46.79%,44.66%,0.67%
