OPENHOUSE DEMAND DIAGNOSTICS — Generated 2026-05-25,,,,,,,,,,,,,,,,,
"Looks at every active property, micromarket (City + Sector), and city. Flags 10 issue types and prescribes actions.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SECTION 1 — HEADLINE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Metric,Value,,,,,,,,,,,,,,,,
Active properties,136,,,,,,,,,,,,,,,,
  High priority (3+ issues),13,,,,,,,,,,,,,,,,
  Medium priority (1-2 issues),40,,,,,,,,,,,,,,,,
  No issues flagged,83,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Top issues (count across all properties),,,,,,,,,,,,,,,,,
Issue,# Properties,,,,,,,,,,,,,,,,
D7 High Dead Leads,34,,,,,,,,,,,,,,,,
"D3 High Visits, Low Conversion",25,,,,,,,,,,,,,,,,
D4 Low Hot/Warm Leads,23,,,,,,,,,,,,,,,,
D6 High Cancellation,15,,,,,,,,,,,,,,,,
D9 Stale Inventory,14,,,,,,,,,,,,,,,,
D2 Low Broker Engagement,11,,,,,,,,,,,,,,,,
D1 Low Demand,11,,,,,,,,,,,,,,,,
D5 Low Revisits,10,,,,,,,,,,,,,,,,
